date,time,open,high,low,close,volume
1240102,1047,15041.60,15049.10,15036.60,15044.10,125
1240102,1048,15048.13,15055.63,15043.13,15050.63,125
1240102,1049,15053.85,15061.35,15048.85,15056.35,125
1240102,1050,15058.60,15066.10,15053.60,15061.10,125
1240102,1051,15062.26,15069.76,15057.26,15064.76,125
1240102,1052,15064.74,15072.24,15059.74,15067.24,125
1240102,1053,15066.02,15073.52,15061.02,15068.52,125
1240102,1054,15066.12,15073.62,15061.12,15068.62,125
1240102,1055,15065.12,15072.62,15060.12,15067.62,125
1240102,1056,15063.12,15070.62,15058.12,15065.62,125
1240102,1057,15060.27,15067.77,15055.27,15062.77,125
1240102,1058,15056.76,15064.26,15051.76,15059.26,125
1240102,1059,15052.75,15060.25,15047.75,15055.25,125
1240102,1100,15048.46,15055.96,15043.46,15050.96,125
1240102,1101,15044.06,15051.56,15039.06,15046.56,125
1240102,1102,15039.72,15047.22,15034.72,15042.22,125
1240102,1103,15035.58,15043.08,15030.58,15038.08,125
1240102,1104,15031.74,15039.24,15026.74,15034.24,125
1240102,1105,15028.27,15035.77,15023.27,15030.77,125
1240102,1106,15025.17,15032.67,15020.17,15027.67,125
1240102,1107,15022.43,15029.93,15017.43,15024.93,125
1240102,1108,15019.99,15027.49,15014.99,15022.49,125
1240102,1109,15017.75,15025.25,15012.75,15020.25,125
1240102,1110,15015.57,15023.07,15010.57,15018.07,125
1240102,1111,15013.34,15020.84,15008.34,15015.84,125
1240102,1112,15010.90,15018.40,15005.90,15013.40,125
1240102,1113,15008.11,15015.61,15003.11,15010.61,125
1240102,1114,15004.86,15012.36,14999.86,15007.36,125
1240102,1115,15001.06,15008.56,14996.06,15003.56,125
1240102,1116,14996.65,15004.15,14991.65,14999.15,125
1240102,1117,14991.61,14999.11,14986.61,14994.11,125
1240102,1118,14985.98,14993.48,14980.98,14988.48,125
1240102,1119,14979.82,14987.32,14974.82,14982.32,125
1240102,1120,14973.25,14980.75,14968.25,14975.75,125
1240102,1121,14966.43,14973.93,14961.43,14968.93,125
1240102,1122,14959.54,14967.04,14954.54,14962.04,125
1240102,1123,14952.80,14960.30,14947.80,14955.30,125
1240102,1124,14946.40,14953.90,14941.40,14948.90,125
1240102,1125,14940.57,14948.07,14935.57,14943.07,125
1240102,1126,14935.51,14943.01,14930.51,14938.01,125
1240102,1127,14931.39,14938.89,14926.39,14933.89,125
1240102,1128,14928.35,14935.85,14923.35,14930.85,125
1240102,1129,14926.50,14934.00,14921.50,14929.00,125
1240102,1130,14925.87,14933.37,14920.87,14928.37,125
1240102,1131,14926.47,14933.97,14921.47,14928.97,125
1240102,1132,14928.25,14935.75,14923.25,14930.75,125
1240102,1133,14931.12,14938.62,14926.12,14933.62,125
1240102,1134,14934.94,14942.44,14929.94,14937.44,125
1240102,1135,14939.54,14947.04,14934.54,14942.04,125
1240102,1136,14944.72,14952.22,14939.72,14947.22,125
1240102,1137,14950.28,14957.78,14945.28,14952.78,125
1240102,1138,14956.02,14963.52,14951.02,14958.52,125
1240102,1139,14961.75,14969.25,14956.75,14964.25,125
1240102,1140,14967.29,14974.79,14962.29,14969.79,125
1240102,1141,14972.51,14980.01,14967.51,14975.01,125
1240102,1142,14977.30,14984.80,14972.30,14979.80,125
1240102,1143,14981.62,14989.12,14976.62,14984.12,125
1240102,1144,14985.45,14992.95,14980.45,14987.95,125
1240102,1145,14988.80,14996.30,14983.80,14991.30,125
1240102,1146,14991.77,14999.27,14986.77,14994.27,125
1240102,1147,14994.44,15001.94,14989.44,14996.94,125
1240102,1148,14996.93,15004.43,14991.93,14999.43,125
1240102,1149,14999.40,15006.90,14994.40,15001.90,125
